story_id,question_id,question,difficulty,answer,answer_pred,precision,recall,f_score
1999-W02-5,1999-W02-5-1,Where is South Queens Junior High School located?,Moderate,"Liverpool, Nova Scotia | Canada","South Queens Junior High School is taking aim at the fitness
market.",0.0,0.0,
1999-W02-5,1999-W02-5-2,Who is the principal of South Queens Junior High School?,Easy,Betty Jean Aucoin,"South Queens Junior High School is taking aim at the fitness
market.",0.0,0.0,
1999-W02-5,1999-W02-5-3,What has South Queens Junior High School done with its old metal shop?,Moderate,turned it into a fitness club,"South Queens Junior High School is taking aim at the fitness
market.",0.07142857142857142,0.16666666666666666,0.1
1999-W02-5,1999-W02-5-5,Who runs the club?,Moderate,a non-profit society | school and community volunteers,The club will be open seven days a week.,0.1,0.1,0.10000000000000002
1999-W02-5,1999-W02-5-6,How big is the club?,Easy,"12,000 square feet","It's an example of a school teaming up with the community to raise
money.",0.0,0.0,
1999-W02-5,1999-W02-5-7,"If you were a student, how much would a club membership cost you?",Moderate,$135 a year,"""We don't have any athletic facilities here on the South Shore of Nova
Scotia, so if we don't use our schools, communities such as Queens are
going to be struggling to get anything going,"" Aucoin said.",0.0,0.0,
1999-W03-5,1999-W03-5-2,What team did Babe play for?,Moderate,Edmonton Grads,"The world lost a basketball hero this week -- and we're not talking
about Michael Jordan.",0.0,0.0,
1999-W03-5,1999-W03-5-3,What position did Babe play?,Moderate,forward,"You may not know her name, but Noella ""Babe"" MacLean, who died this week
at age 87, was one of Canada's biggest sports stars.  ",0.0,0.0,
1999-W03-5,1999-W03-5-4,How tall was Babe?,Easy,"5 feet, 2 inches","She was a
forward and she stood only 5 feet, 2 inches tall.",0.3125,1.0,0.47619047619047616
1999-W03-5,1999-W03-5-5,How much was Babe paid to play basketball?,Moderate,nothing | never made a cent,"The world lost a basketball hero this week -- and we're not talking
about Michael Jordan.",0.05263157894736842,0.16666666666666666,0.08
1999-W03-5,1999-W03-5-6,How many games did the Edmonton Grads win?,Easy,502,"They were just a group of
young women from the same school who liked to play basketball.",0.0,0.0,
1999-W03-5,1999-W03-5-7,"When did Babe play for ""the finest basketball team that ever stepped out on a floor""?",Easy,from 1929 to 1937,"The inventor
of the game of basketball, Dr. James Naismith called the Edmonton Grads
""the finest basketball team that ever stepped out on a floor"".",0.0,0.0,
1999-W03-5,1999-W03-5-8,Why did Babe stop playing basketball?,Moderate,she got married,"The world lost a basketball hero this week -- and we're not talking
about Michael Jordan.",0.0,0.0,
1999-W03-5,1999-W03-5-9,Who was Babe's husband?,Moderate,Ian MacLean,"You may not know her name, but Noella ""Babe"" MacLean, who died this week
at age 87, was one of Canada's biggest sports stars.  ",0.030303030303030304,0.5,0.05714285714285715
1999-W03-5,1999-W03-5-10,Where did Babe's daughter find scrapbooks?,Easy,in the family's basement,Babe never talked about her fabulous career.,0.0,0.0,
1999-W04-5,1999-W04-5-2,How much does Alexi Yashin earn as a hockey player?,Easy,more than three million dollars a season,"But it now looks like
Alexi Yashin was not really being honest.
",0.0,0.0,
1999-W04-5,1999-W04-5-3,Who does Alexi Yashin play for?,Easy,Ottawa Senators,Alexi Yashin made an about face.,0.0,0.0,
1999-W04-5,1999-W04-5-4,How much money did Alexi Yashin actually donate to the National Arts Centre?,Moderate,"$200,000","Many Canadians were delighted to see that Alexi Yashin was donating so
much money.",0.0,0.0,
1999-W04-5,1999-W04-5-7,Why do people go to the National Arts Centre?,Easy,to see plays and dance and to hear live music,"Earlier this year he promised to give
one million dollars to the National Arts Centre, a concert hall where
people go to see plays and dance and to hear live music.",0.2857142857142857,1.0,0.4444444444444445
